Order Id,Order State,Create Time,State Change Time,Required Despatch Time,Pick Qty,Priority Band,Order Type,Carrier Type,Despatch Time,Num Lines,Order Sales Id,Order Short Id,Vip,Gift Wrapping,Vas,Can Be Consolidated,Allow Short Ship,Order State Before Abandon Or Cancel,Priority Value,Stylist Name,Client Email,Shooting Time,Vendor R A Number,Cms Delivery By Date,Customer Order Ref,Ticket Reference,Late,Alert Str,State Calc Req Time,State Calc Time,Emergency,Sort Priority,Op Config,Customer,Trailer,Delivery Address,Order Has Been Released,Prev Order Osh State,Large,Single Unit,Preferred Carrier,Carrier Service,Consignment ,Source Site,Destination Site,Carrier,Preferred Carrier Service
="284719661","FINISHED",2024-03-23 01:59:06,2024-03-23 12:02:39,2024-03-23 15:00:00,2,"UNKNOWN","B2C","CARRIER",,2,"","","NO","NO","NO","NO","NO","UNUSED",3,"","",,"",,"","",false,"",2024-03-23 12:02:34,2024-03-23 12:02:39,"NO",2024-03-23 15:00:00,"B2C",,,="0000000000000000000000000000000000201957",true,"DESPATCHED",false,false,"FedEx Economy Canada","FedEx Economy Canada",="284719661001",,,"FedEx Economy Canada","FedEx Economy Canada"
="284724641","FINISHED",2024-03-23 15:46:43,2024-03-23 11:42:28,2024-03-23 15:00:00,1,"UNKNOWN","B2C","CARRIER",,1,"","","NO","NO","NO","NO","NO","UNUSED",3,"","",,"",,"","",false,"",2024-03-23 11:42:13,2024-03-23 11:42:28,"NO",2024-03-23 15:00:00,"B2C",,,="0000000000000000000000000000000000201797",true,"DESPATCHED",false,true,"FedEx Economy Canada","FedEx Economy Canada",="284724641001",,,"FedEx Economy Canada","FedEx Economy Canada"
